date,shift,team,minimum,ideal,estimated
2025-01-01,M,A,2,3,3
2025-01-01,N,A,1,2,2
2025-01-01,T,A,2,3,3
2025-01-01,M,B,2,3,3
2025-01-01,N,B,1,2,2
2025-01-01,T,B,2,3,3
2025-01-01,M,C,1,2,2
2025-01-01,N,C,1,2,2
2025-01-01,T,C,2,3,3
2025-01-01,M,D,2,3,3
2025-01-01,N,D,1,2,2
2025-01-01,T,D,2,3,3
2025-01-02,M,A,2,3,3
2025-01-02,N,A,1,2,2
2025-01-02,T,A,2,3,3
2025-01-02,M,B,2,3,3
2025-01-02,N,B,0,1,1
2025-01-02,T,B,2,3,3
2025-01-02,M,C,2,3,3
2025-01-02,N,C,1,2,2
2025-01-02,T,C,2,3,3
2025-01-02,M,D,2,3,3
2025-01-02,N,D,1,2,2
2025-01-02,T,D,2,3,3
2025-01-03,M,A,2,3,3
2025-01-03,N,A,1,2,2
2025-01-03,T,A,2,3,3
2025-01-03,M,B,2,3,3
2025-01-03,N,B,1,2,2
2025-01-03,T,B,2,3,3
2025-01-03,M,C,2,3,3
2025-01-03,N,C,1,2,2
2025-01-03,T,C,1,2,2
2025-01-03,M,D,2,3,3
2025-01-03,N,D,1,2,2
2025-01-03,T,D,2,3,3
2025-01-04,M,A,2,3,3
2025-01-04,N,A,1,2,2
2025-01-04,T,A,2,3,3
2025-01-04,M,B,2,3,3
2025-01-04,N,B,1,2,2
2025-01-04,T,B,2,3,3
2025-01-04,M,C,2,3,3
2025-01-04,N,C,1,2,2
2025-01-04,T,C,2,3,3
2025-01-04,M,D,2,3,3
2025-01-04,N,D,1,2,2
2025-01-04,T,D,2,3,3
2025-01-05,M,A,2,3,3
2025-01-05,N,A,1,2,2
2025-01-05,T,A,2,3,3
2025-01-05,M,B,2,3,3
2025-01-05,N,B,1,2,2
2025-01-05,T,B,2,3,3
2025-01-05,M,C,2,3,3
2025-01-05,N,C,2,3,3
2025-01-05,T,C,2,3,3
2025-01-05,M,D,2,3,3
2025-01-05,N,D,1,2,2
2025-01-05,T,D,2,3,3
2025-01-06,M,A,2,3,3
2025-01-06,N,A,1,2,2
2025-01-06,T,A,2,3,3
2025-01-06,M,B,2,3,3
2025-01-06,N,B,1,2,2
2025-01-06,T,B,2,3,3
2025-01-06,M,C,2,3,3
2025-01-06,N,C,1,2,2
2025-01-06,T,C,2,3,3
2025-01-06,M,D,2,3,3
2025-01-06,N,D,2,3,3
2025-01-06,T,D,2,3,3
2025-01-07,M,A,2,3,3
2025-01-07,N,A,1,2,2
2025-01-07,T,A,2,3,3
2025-01-07,M,B,2,3,3
2025-01-07,N,B,1,2,2
2025-01-07,T,B,2,3,3
2025-01-07,M,C,2,3,3
2025-01-07,N,C,1,2,2
2025-01-07,T,C,2,3,3
2025-01-07,M,D,2,3,3
2025-01-07,N,D,1,2,2
2025-01-07,T,D,2,3,3
2025-01-08,M,A,1,2,2
2025-01-08,N,A,1,2,2
2025-01-08,T,A,2,3,3
2025-01-08,M,B,2,3,3
2025-01-08,N,B,1,2,2
2025-01-08,T,B,2,3,3
2025-01-08,M,C,2,3,3
2025-01-08,N,C,1,2,2
2025-01-08,T,C,1,2,2
2025-01-08,M,D,2,3,3
2025-01-08,N,D,1,2,2
2025-01-08,T,D,2,3,3
2025-01-09,M,A,2,3,3
2025-01-09,N,A,1,2,2
2025-01-09,T,A,2,3,3
2025-01-09,M,B,2,3,3
2025-01-09,N,B,1,2,2
2025-01-09,T,B,2,3,3
2025-01-09,M,C,2,3,3
2025-01-09,N,C,1,2,2
2025-01-09,T,C,2,3,3
2025-01-09,M,D,2,3,3
2025-01-09,N,D,1,2,2
2025-01-09,T,D,2,3,3
2025-01-10,M,A,2,3,3
2025-01-10,N,A,1,2,2
2025-01-10,T,A,2,3,3
2025-01-10,M,B,2,3,3
2025-01-10,N,B,0,1,1
2025-01-10,T,B,2,3,3
2025-01-10,M,C,2,3,3
2025-01-10,N,C,1,2,2
2025-01-10,T,C,2,3,3
2025-01-10,M,D,2,3,3
2025-01-10,N,D,0,1,1
2025-01-10,T,D,2,3,3
2025-01-11,M,A,2,3,3
2025-01-11,N,A,1,2,2
2025-01-11,T,A,2,3,3
2025-01-11,M,B,2,3,3
2025-01-11,N,B,1,2,2
2025-01-11,T,B,2,3,3
2025-01-11,M,C,2,3,3
