run,best_fitness,min_coverage_unmet,ideal_coverage_unmet,stopped_at_gen,elapsed_s,viol_vacation,viol_workday,viol_window,viol_special,viol_backward
1,-90568.0,847,5868,558,3941.7,0,0,0,0,0
2,-90490.0,846,5890,557,3945.9,0,0,0,0,0
3,-90076.0,842,5876,634,4485.9,0,0,0,0,0
4,-92330.0,862,6130,441,3139.4,0,0,0,0,0
5,-91043.0,851,5943,550,3947.0,0,0,0,0,0
6,-90870.0,850,5870,533,3845.6,0,0,0,0,0
7,-90039.0,843,5739,835,6026.1,0,0,0,0,0
8,-89581.0,839,5681,945,6809.7,0,0,0,0,0
9,-90506.0,847,5806,697,5020.4,0,0,0,0,0
10,-90038.0,843,5738,695,5018.9,0,0,0,0,0
