run,best_fitness,min_coverage_unmet,ideal_coverage_unmet,stopped_at_gen,elapsed_s,viol_vacation,viol_workday,viol_window,viol_special,viol_backward
1,-22923.0,215,1423,604,755.6,0,0,0,0,0
2,-22973.0,215,1473,567,705.2,0,0,0,0,0
3,-23228.0,217,1528,365,454.6,0,0,0,0,0
4,-22983.0,215,1483,544,675.9,0,0,0,0,0
5,-23054.0,215,1554,435,546.0,0,0,0,0,0
6,-23018.0,215,1518,448,555.8,0,0,0,0,0
7,-22997.0,215,1497,550,680.1,0,0,0,0,0
8,-22946.0,215,1446,614,759.4,0,0,0,0,0
9,-22977.0,215,1477,552,711.8,0,0,0,0,0
10,-22960.0,215,1460,601,745.1,0,0,0,0,0
