run,best_fitness,min_coverage_unmet,ideal_coverage_unmet,stopped_at_gen,elapsed_s,viol_vacation,viol_workday,viol_window,viol_special,viol_backward
1,-10918.0,103,618,577,333.7,0,0,0,0,0
2,-10890.0,103,590,842,480.8,0,0,0,0,0
3,-10932.0,103,632,649,373.2,0,0,0,0,0
4,-10975.0,103,675,501,287.2,0,0,0,0,0
5,-10957.0,103,657,552,315.8,0,0,0,0,0
6,-10913.0,103,613,709,402.4,0,0,0,0,0
7,-10962.0,103,662,530,304.7,0,0,0,0,0
8,-10927.0,103,627,586,336.6,0,0,0,0,0
9,-10901.0,103,601,852,484.1,0,0,0,0,0
10,-10924.0,103,624,709,405.3,0,0,0,0,0
